Collision Data
mass1:,0.5,I1:,1.0,r1,2.0
mass2:,0.5,I2:,0.25,r2,1.0
time,p1.pos.x,p1.pos.y,p1.th,p1.px,p1.py,p1.L,p2.pos.x,p2.pos.y,p2.th,p2.px,p2.py,p2.L,F.x,F.y,tq1,tq2
0.0,-14.9,-1.0,0.0,1.0,-9.48032079037932e-19,3.7921283161517284e-19,0.0,0.0,0.0,1.412567797766519e-17,9.48032079037932e-19,1.8960641580758642e-19,-2.825135595533038e-16,-1.896064158075864e-17,3.7921283161517284e-19,-1.8960641580758642e-19
0.05,-14.8,-1.0,1.8960641580758644e-20,1.0,-2.2354759901762766e-18,8.941903960705107e-19,1.4125677977665191e-18,9.480320790379321e-20,3.792128316151729e-20,3.317984786251269e-17,2.2354759901762766e-18,4.4709519803525535e-19,-3.8108339769694997e-16,-2.574887822276689e-17,5.149775644553378e-19,-2.574887822276689e-19
0.1,-14.700000000000001,-1.0,6.367016138428418e-20,1.0,-3.983909689497807e-18,1.5935638757991229e-18,4.730552584017788e-18,3.1835080692142086e-19,1.2734032276856836e-19,5.888182324253919e-17,3.983909689497807e-18,7.967819378995614e-19,-5.140395076005299e-16,-3.496867398643061e-17,6.993734797286122e-19,-3.496867398643061e-19
0.15000000000000002,-14.600000000000001,-1.0,1.4334835517424033e-19,1.0,-6.3584840122773356e-18,2.5433936049109345e-18,1.0618734908271707e-17,7.167417758712016e-19,2.8669671034848065e-19,9.35506083551203e-17,6.3584840122773356e-18,1.2716968024554673e-18,-6.933757022516222e-16,-4.749148645559057e-17,9.498297291118115e-19,-4.749148645559057e-19
0.2,-14.500000000000002,-1.0,2.7051803541978704e-19,1.0,-9.583547725124784e-18,3.833419090049914e-18,1.9973795743783737e-17,1.3525901770989353e-18,5.410360708395741e-19,1.403140321914083e-16,9.583547725124784e-18,1.916709545024957e-18,-9.3526847672576e-16,-6.450127425694896e-17,1.290025485138979e-18,-6.450127425694895e-19
0.25,-14.400000000000002,-1.0,4.621889899222828e-19,0.9999999999999999,-1.3963878943056463e-17,5.585551577222586e-18,3.4005198962924564e-17,2.3109449496114135e-18,9.243779798445656e-19,2.0339080172962451e-16,1.3963878943056463e-17,2.792775788611293e-18,-1.261535390764324e-15,-8.760662435863361e-17,1.7521324871726722e-18,-8.760662435863361e-19
0.3,-14.300000000000002,-1.0,7.41466568783412e-19,0.9999999999999998,-1.9913535743273057e-17,7.965414297309225e-18,5.434427913588702e-17,3.70733284391706e-18,1.482933137566824e-18,2.8847089397272183e-16,1.9913535743273057e-17,3.982707148654612e-18,-1.7016018448619463e-15,-1.189931360043319e-16,2.379862720086638e-18,-1.189931360043319e-18
0.35,-14.200000000000003,-1.0,1.1397372836488732e-18,0.9999999999999997,-2.799506193033492e-17,1.119802477213397e-17,8.31913685331592e-17,5.698686418244366e-18,2.2794745672977464e-18,4.0322856582900033e-16,2.799506193033492e-17,5.599012386066985e-18,-2.2951534371255695e-15,-1.6163052374123726e-16,3.2326104748247452e-18,-1.6163052374123726e-18
0.39999999999999997,-14.100000000000003,-1.0,1.6996385222555718e-18,0.9999999999999996,-3.8972766991443724e-17,1.558910679657749e-17,1.2351422511605923e-16,8.498192611277858e-18,3.3992770445111435e-18,5.580142071906345e-16,3.8972766991443724e-17,7.794553398288745e-18,-3.095712827232683e-15,-2.1955410122217603e-16,4.391082024443521e-18,-2.1955410122217604e-18
0.44999999999999996,-14.000000000000004,-1.0,2.4790938620844463e-18,0.9999999999999993,-5.388513584689025e-17,2.15540543387561e-17,1.7931564583512268e-16,1.239546931042223e-17,4.958187724168893e-18,7.667873711668859e-16,5.388513584689025e-17,1.077702716937805e-17,-4.175463279525028e-15,-2.982473771089305e-16,5.96494754217861e-18,-2.982473771089305e-18
0.49999999999999994,-13.900000000000004,-1.0,3.556796579022251e-18,0.999999999999999,-7.414324123980812e-17,2.965729649592325e-17,2.5599438295181125e-16,1.7783982895111255e-17,7.113593158044502e-18,1.0483750361284442e-15,7.414324123980812e-17,1.4828648247961625e-17,-5.6317532992311685e-15,-4.051621078583573e-16,8.103242157167146e-18,-4.051621078583573e-18
0.5499999999999999,-13.800000000000004,-1.0,5.0396614038184135e-18,0.9999999999999987,-1.0166450251158882e-16,4.0665801004635534e-17,3.6083188656465565e-16,2.5198307019092068e-17,1.0079322807636827e-17,1.4281684416790182e-15,1.0166450251158882e-16,2.0332900502317767e-17,-7.595868111011479e-15,-5.504252254356141e-16,1.1008504508712283e-17,-5.5042522543561414e-18
0.6,-13.700000000000005,-1.0,7.07295145405019e-18,0.9999999999999981,-1.3905449437016782e-16,5.562179774806714e-17,5.036487307325575e-16,3.536475727025095e-17,1.414590290810038e-17,1.940411330141551e-15,1.3905449437016782e-16,2.781089887403357e-17,-1.0244857769250649e-14,-7.477998371715799e-16,1.49559967434316e-17,-7.4779983717158e-18
