Time [s],Channel A [V],Channel B [V]
0,0.007443,0
0.000390625,0.007443,-0.025
0.00078125,0.007443,0
0.001171875,0.007443,-0.025
0.0015625,0.004962,0
0.001953125,0.004962,0.025
0.00234375,0.004962,-0.025
0.002734375,0.007443,0.025
0.003125,0.007443,0
0.003515625,0.007443,0.025
0.00390625,0.004962,0
0.004296875,0.007443,-0.025
0.0046875,0.004962,-0.025
0.005078125,0.007443,0
0.00546875,0.007443,0
0.005859375,0.007443,-0.025
0.00625,0.004962,-0.025
0.006640625,0.007443,0
0.00703125,0.007443,0
0.007421875,0.007443,-0.025
0.0078125,0.004962,0
0.008203125,0.007443,0
0.00859375,0.007443,0
0.008984375,0.007443,0
0.009375,0.007443,0
0.009765625,0.009924,-0.025
0.01015625,0.004962,0
0.010546875,0.007443,-0.025
0.0109375,0.004962,-0.025
0.011328125,0.002481,0
0.01171875,0.009924,0
0.012109375,0.007443,0.025
0.0125,0.009924,0
0.012890625,0.009924,0
0.01328125,0.007443,-0.025
0.013671875,0.007443,0
0.0140625,0.009924,0
0.014453125,0.009924,0
0.01484375,0.007443,0
0.015234375,0.007443,-0.025
0.015625,0.007443,0
0.016015625,0.007443,0
0.01640625,0.004962,-0.025
0.016796875,0.009924,0.025
0.0171875,0.004962,-0.025
0.017578125,0.004962,0
0.01796875,0.004962,0
0.018359375,0.009924,-0.025
0.01875,0.004962,0
0.019140625,0.007443,0
0.01953125,0.009924,0.025
0.019921875,0.007443,0
0.0203125,0.007443,-0.025
0.020703125,0.009924,-0.05
0.02109375,0.004962,0
0.021484375,0.009924,0
0.021875,0.007443,0
0.022265625,0.004962,0
0.02265625,0.007443,0
0.023046875,0.009924,-0.025
0.0234375,0.007443,0
0.023828125,0.009924,0
0.02421875,0.007443,-0.025
0.024609375,0.002481,0
0.025,0.007443,0.025
0.025390625,0.009924,0.025
0.02578125,0.007443,0
0.026171875,0.007443,-0.025
0.0265625,0.004962,0
0.026953125,0.007443,0
0.02734375,0.004962,-0.025
0.027734375,0.009924,0.025
0.028125,0.004962,-0.025
0.028515625,0.004962,0.025
0.02890625,0.009924,0
0.029296875,0.009924,-0.025
0.0296875,0.002481,0
0.030078125,0.007443,0
0.03046875,0.007443,0.025
0.030859375,0.009924,0
0.03125,0.007443,0
0.031640625,0.004962,-0.025
0.03203125,0.007443,0
0.032421875,0.009924,0
0.0328125,0.007443,-0.025
0.033203125,0.002481,0
0.03359375,0.007443,-0.025
0.033984375,0.007443,0.025
0.034375,0.007443,0
0.034765625,0.004962,0.025
0.03515625,0.009924,-0.025
0.035546875,0.007443,-0.025
0.0359375,0.009924,0.025
0.036328125,0.007443,0
0.03671875,0.004962,-0.025
0.037109375,0.007443,0.025
0.0375,0.007443,-0.025
0.037890625,0.004962,0
0.03828125,0.007443,0
0.038671875,0.007443,0
0.0390625,0.007443,-0.05
0.039453125,0.007443,0.025
0.03984375,0.012405,0
0.040234375,0.009924,-0.025
0.040625,0.009924,0
0.041015625,0.004962,0.025
0.04140625,0.007443,-0.025
0.041796875,0.007443,0
0.0421875,0.007443,0
0.042578125,0.009924,0
0.04296875,0,-0.025
0.043359375,0.009924,0
0.04375,0.004962,0.025
0.044140625,0.007443,0
0.04453125,0.009924,0.025
0.044921875,0.009924,0
0.0453125,0.004962,0.025
0.045703125,0.007443,0.025
0.04609375,0.009924,0
0.046484375,0.007443,-0.025
0.046875,0.007443,0.025
0.047265625,0.007443,-0.025
0.04765625,0.004962,-0.025
0.048046875,0.007443,-0.025
0.0484375,0.009924,-0.025
0.048828125,0.007443,0
0.04921875,0.007443,0
0.049609375,0.009924,-0.025
0.05,0.004962,-0.05
0.050390625,0.004962,0.025
0.05078125,0.007443,-0.025
0.051171875,0.004962,0
0.0515625,0.007443,0
0.051953125,0.007443,0
0.05234375,0.007443,0
0.052734375,0.009924,0.025
0.053125,0.009924,-0.025
0.053515625,0.007443,0.025
0.05390625,0.007443,-0.025
0.054296875,0.004962,0
0.0546875,0.007443,0
0.055078125,0.007443,0.025
0.05546875,0.007443,0.025
0.055859375,0.007443,-0.025
0.05625,0.007443,0.025
0.056640625,0.007443,0
0.05703125,0.007443,0
0.057421875,0.007443,0
0.0578125,0.007443,0
0.058203125,0.007443,0
0.05859375,0.009924,0
0.058984375,0.004962,0
0.059375,0.007443,-0.025
0.059765625,0.004962,0
0.06015625,0.004962,0
0.060546875,0.007443,0.025
0.0609375,0.009924,0.025
0.061328125,0.007443,0
0.06171875,0.007443,-0.025
0.062109375,0.007443,-0.025
0.0625,0.004962,0
0.062890625,0.007443,0
0.06328125,0.007443,-0.025
0.063671875,0.007443,0
0.0640625,0.007443,-0.025
0.064453125,0.007443,-0.025
0.06484375,0.004962,0
0.065234375,0.007443,0
0.065625,0.007443,0
0.066015625,0.007443,0
0.06640625,0.007443,0.025
0.066796875,0.007443,0
0.0671875,0.007443,0
0.067578125,0.009924,0.05
0.06796875,0.007443,-0.025
0.068359375,0.007443,-0.025
0.06875,0.007443,-0.025
0.069140625,0.004962,0.025
0.06953125,0.007443,-0.025
0.069921875,0.004962,0
0.0703125,0.009924,0
0.070703125,0.007443,0.025
0.07109375,0.007443,0
0.071484375,0.009924,0
0.071875,0.007443,0
0.072265625,0.007443,0
0.07265625,0.007443,0
0.073046875,0.007443,0
0.0734375,0.004962,0.025
0.073828125,0.007443,-0.025
0.07421875,0.007443,0
0.074609375,0.004962,0
0.075,0.007443,-0.025
0.075390625,0.009924,0
0.07578125,0.007443,0.025
0.076171875,0.007443,0
0.0765625,0.007443,0
0.076953125,0.007443,-0.025
0.07734375,0.004962,0
0.077734375,0.007443,-0.025
0.078125,0.007443,0.025
0.078515625,0.007443,0
0.07890625,0.004962,0
0.079296875,0.007443,0.025
0.0796875,0.007443,0.025
0.080078125,0.004962,0
0.08046875,0.007443,-0.025
0.080859375,0.004962,0
0.08125,0.012405,0.025
0.081640625,0.004962,0.025
0.08203125,0.007443,0
0.082421875,0.009924,0
0.0828125,0.007443,0
0.083203125,0.009924,0.025
0.08359375,0.007443,-0.025
0.083984375,0.007443,0
0.084375,0.004962,0
0.084765625,0.009924,0.025
0.08515625,0.007443,-0.025
0.085546875,0.009924,0
0.0859375,0.007443,-0.025
0.086328125,0.007443,0
0.08671875,0.007443,-0.025
0.087109375,0.007443,-0.025
0.0875,0.004962,0
0.087890625,0.007443,-0.025
0.08828125,0.007443,0
0.088671875,0.007443,-0.05
0.0890625,0.007443,0
0.089453125,0.007443,0
0.08984375,0.009924,0
0.090234375,0.007443,0
0.090625,0.007443,0
0.091015625,0.009924,0
0.09140625,0.007443,0
0.091796875,0.004962,0
0.0921875,0.004962,0.025
0.092578125,0.007443,0
0.09296875,0.007443,0
0.093359375,0.007443,0.025
0.09375,0.007443,0
0.094140625,0.004962,0
0.09453125,0.009924,0
0.094921875,0.007443,-0.05
0.0953125,0.004962,0
0.095703125,0.007443,0
0.09609375,0.009924,0
0.096484375,0.004962,0.025
0.096875,0.009924,0
0.097265625,0.004962,0
0.09765625,0.007443,0
0.098046875,0.007443,0
0.0984375,0.007443,-0.025
0.098828125,0.009924,-0.025
0.09921875,0.007443,0
0.099609375,0.007443,-0.025
0.1,0.007443,-0.025
0.100390625,0.007443,0
0.10078125,0.007443,-0.025
0.101171875,0.004962,0.025
0.1015625,0.007443,-0.025
0.101953125,0.004962,-0.025
0.10234375,0.007443,0
0.102734375,0.004962,0
0.103125,0.007443,0
0.103515625,0.004962,0
0.10390625,0.007443,0.025
0.104296875,0.007443,0
0.1046875,0.004962,-0.025
0.105078125,0.004962,-0.025
0.10546875,0.004962,-0.025
0.105859375,0.007443,0
0.10625,0.007443,0
0.106640625,0.004962,-0.025
0.10703125,0.007443,0
0.107421875,0.004962,0
0.1078125,0.004962,0
0.108203125,0.004962,0
0.10859375,0.004962,-0.025
0.108984375,0.004962,0
0.109375,0.004962,-0.025
0.109765625,0.004962,0
0.11015625,0.004962,-0.025
0.110546875,0.004962,-0.025
0.1109375,0.004962,0.025
0.111328125,0.007443,0
0.11171875,0.004962,0
0.112109375,0.004962,-0.025
0.1125,0.004962,0
