time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
-0.005301,0.096086,-0.164990,0.142282
0.024555,-0.017203,0.195707,0.130789
0.064362,0.037093,-0.104079,-0.012942
0.094217,0.026147,-0.139137,-0.044309
0.124073,-0.003043,-0.015057,-0.023997
0.163880,-0.051852,0.014704,-0.012459
0.193735,0.027584,0.013033,-0.001429
0.223591,0.025891,0.079875,0.029427
0.263398,-0.007674,0.055912,0.050028
0.293252,0.038727,-0.025840,0.011822
0.323108,0.046702,0.003878,-0.028509
0.362915,-0.026990,0.031546,-0.005069
0.392770,-0.029763,-0.031899,-0.008508
0.422626,0.015090,0.009508,-0.020922
0.462433,0.001311,0.081030,0.012272
0.492288,-0.016101,0.050426,0.044954
0.522144,0.011441,0.021984,0.025829
0.561951,0.038193,0.026037,-0.003605
0.591806,-0.020501,0.025888,0.011250
0.631613,-0.006637,0.005210,0.002291
0.661469,0.056237,0.019930,-0.035471
0.691324,0.004547,0.072803,-0.001287
0.731131,0.017549,0.031612,0.005417
0.760987,0.050331,0.044555,-0.029152
0.790842,0.041819,0.048908,-0.003019
0.830649,0.003079,0.040146,-0.001401
0.860505,-0.001381,0.045189,0.007248
0.890360,0.022013,0.059342,-0.020293
0.930167,-0.007968,0.041949,0.018885
0.960022,-0.017411,0.030344,0.048384
0.989878,0.010924,0.028917,0.020173
1.029685,-0.007714,0.051168,0.027775
1.059540,-0.003017,0.041012,0.046351
1.089396,0.019329,0.027652,0.023549
1.129203,0.008441,0.055069,-0.000203
1.159058,-0.014985,0.085165,0.022640
1.188914,-0.004417,0.044468,0.026252
1.228721,0.010527,0.054845,0.004377
1.258576,0.026430,0.046923,-0.001987
1.288432,0.005867,0.042783,0.000664
1.328240,0.024245,0.034000,0.020733
1.358095,0.035942,0.070738,0.009742
1.397902,0.026716,0.092407,-0.026990
1.427758,0.012605,0.069054,-0.015454
1.457613,0.051486,0.048452,-0.010978
1.497420,0.041570,0.070939,-0.018827
1.527276,0.010287,0.065965,0.016153
1.557131,0.010269,0.033881,0.019804
1.596938,0.016221,0.068301,0.002614
1.626794,0.003164,0.051363,0.018073
1.656649,-0.012225,0.040934,0.031123
1.696456,0.011331,0.052698,0.021546
1.726312,0.009159,0.077175,0.018118
1.756167,0.006854,0.066581,0.028707
1.795974,0.005294,0.052207,0.000467
1.825830,-0.074906,0.096660,-0.061741
1.855685,-0.038740,0.114353,-0.014574
